City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Shenjiamen,CN,29.9576,122.298,67.8,85,1,10.6,clear sky
80,Kilindoni,TZ,-7.9139,39.6668,79.66,72,37,22.24,light rain
81,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,85,0,9.71,clear sky
82,Ancud,CL,-41.8697,-73.8203,49.53,71,62,2.3,broken clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,0,19.57,clear sky
84,Airai,TL,-8.9266,125.4092,59.58,94,90,3.47,overcast clouds
85,Punta Arenas,CL,-53.15,-70.9167,39.31,87,40,7.67,scattered clouds
86,Quatre Cocos,MU,-20.2078,57.7625,71.1,78,10,4.92,clear sky
87,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,13.8,broken clouds
88,Albion,US,42.2431,-84.753,86.77,35,1,13.6,clear sky
89,Avarua,CK,-21.2078,-159.775,75.25,78,40,8.05,scattered clouds
90,Omboue,GA,-1.5746,9.2618,77.29,89,100,4.9,light rain
91,Antofagasta,CL,-23.65,-70.4,61.88,78,7,7.96,clear sky
92,Santa Isabel,BR,-23.3156,-46.2214,79.56,66,0,2.75,clear sky
93,Torbay,CA,47.6666,-52.7314,58.28,96,90,9.22,fog
94,Zatoka,UA,46.0725,30.4654,61.34,66,72,7.63,broken clouds
95,Chapleau,CA,47.8405,-83.4034,75.29,64,90,2.3,overcast clouds
96,Jackson,US,42.4165,-122.8345,80.74,29,24,13.0,few clouds
97,Betlitsa,RU,54.0095,33.9588,56.19,72,99,4.79,overcast clouds
98,Houma,US,29.5958,-90.7195,77.0,86,100,11.01,overcast clouds
99,Batemans Bay,AU,-35.7167,150.1833,48.9,68,6,4.74,clear sky
100,Manglaur,IN,29.8,77.8667,86.23,32,1,5.03,clear sky
101,Fortuna,US,40.5982,-124.1573,70.41,64,90,15.99,overcast clouds
102,Severo-Yeniseyskiy,RU,60.3725,93.0408,40.6,87,100,11.14,light rain
103,Batagay,RU,67.6333,134.6333,40.19,85,100,14.92,overcast clouds
104,Jistebnice,CZ,49.4855,14.5276,61.75,92,100,4.16,overcast clouds
105,North Bend,US,43.4065,-124.2243,65.25,71,92,11.34,overcast clouds
106,Pangnirtung,CA,66.1451,-65.7125,35.04,93,93,1.68,overcast clouds
107,Saint-Pierre,RE,-21.3393,55.4781,74.57,90,75,3.44,light rain
108,Severnoye,RU,56.3491,78.3619,51.93,86,28,9.95,scattered clouds
109,Terre Haute,US,39.4667,-87.4139,86.23,47,6,1.01,clear sky
110,Moreira Sales,BR,-24.0622,-53.0069,70.21,65,43,6.31,scattered clouds
111,Lebu,CL,-37.6167,-73.65,51.75,72,100,12.44,overcast clouds
112,Mar Del Plata,AR,-38.0023,-57.5575,59.02,52,0,1.01,clear sky
113,Lasa,IT,46.6166,10.7002,56.62,94,100,5.61,overcast clouds
114,Port Blair,IN,11.6667,92.75,83.79,78,100,9.62,overcast clouds
115,Sisimiut,GL,66.9395,-53.6735,41.02,87,100,5.32,overcast clouds
116,Keningau,MY,5.3378,116.1602,73.85,99,97,0.47,overcast clouds
